Game,Artists
Advance Wars: Days of Ruin,Ryo Hirata (character designs)
Advance Wars: Dual Strike,Ryo Hirata (character designs)
Advance Wars 2: Black Hole Rising,"Ryo Hirata (character design), Kiyomi Itani (artwork)"
Aedis Eclipse: Generation of Chaos,???
Afro Samurai,"Duke Mighten, Josh Tiefer, Paul Sullivan, Juhan Lee, Khari Evans, Eun Hwan Kim, Daeyong Oh, Kyoon Lee"
Aion,"Lee Jeong Heon, Ryuhun Yong, Juno Jeong, Donfoo, Hyung jun Kim, Danny Shinwoong Kang, Kevin Chen, Young-sang Kim, Ji Bae Park, pencil 1203"
Akai Katana,Tachikawa Mushimaro
Akiba's Beat,UCMM
The Alchemist Code,Rinzo
Alice: Madness Returns,"Ken Wong, Hong Lei, Jin Lei, Sun Guoliang, Luis Melo, Tyler Lockett, Nako, Wang Shenghua, Yuan Shaofeng, Fellipe Martins, Wu Yuehan, Pu Jinsong, Ben Kerslake"
All Points Bulletin,"Arnold Tsang, Jon Stockwell, Andrew Hou, Jade Law, Martyn Driscoll, Tom Stockwell, Zoli Crayon, Jack Oakman"
Alone in the Dark,Pascal Casolari (environments)
Americana Dawn,Juri Hayasaka Chinchilla
Anarchy Reigns,Masaki Yamanaka
Animal Crossing: City Folk,???
Animal Crossing: New Leaf,???
Another Eden: The Cat Beyond Time and Space,"Takahito Exa, Shinwoo Chei, Chika Ueda, Yuka Sato"
Anthem,"Alex Figini, Patrik Karlsson, Ken Fairclough"
Apex Legends,"Jung Park, Cliff Childs, Danny Gardner, Kejun Wang, Liam MacDonald, Prog Wang, Tu Bui, Brad Allen, Autumn Rain Turkel, Hethe Srodawa"
A Plague Tale: Innocence,"Damien Papet, Olivier Ponsonnet"
Apollo Justice: Ace Attorney,"Tatsurou Iwamoto, Kazuya Nuri"
AquaNox 2: Revelation,Randis Albion
Arcana Heart 3,Eriko Kawada (Arcana designs)
Arc Rise Fantasia,"Ken'ichi Yoshida (character designs), Katsumi Aizaki"
Arc the Lad: End of Darkness,Ryuichi Kunisue (character designs)
Arc the Lad: Twilight of the Spirits,Ryuichi Kunisue (character designs)
Arena of Valor,Zezhou Chen
Ark Sphere,"Etama Quomo, Soo Min Jeong"
Armed Fantasia,"Tomomi Sasaki (character designer), As' Maria (ARM designer)"
Armored Core 4,???
Armored Core V,???
Ar nosurge: Ode to an Unborn Star,"ntny (characters), Takayama Toshiaki, John Hathway, Nagiryo, Demizu Posuka, Yoshiku, Yocky, Yoshi Mata"
Ar tonelico: Melody of Elemia,S.E.C / Nagi (character designs)
Ar tonelico II: Melody of Metafalica,S.E.C / Nagi (character designs)
Ar tonelico Qoga: Knell of Ar Ciel,S.E.C / Nagi (character designs)
ASH: Archaic Sealed Heat,Hideo Minaba (character designs)
Assassin's Creed,"Raphael Lacoste, David Levy, Patrick Desgreniers, Nicolas Bouvier, Thierry Doizon, Nicolas Ferrand, Sébastien Larroudé"
Assassin's Creed II,"Gilles Beloeil, Nicolas Collings, David Alvarez, Tamas Varga"
Assassin's Creed III,"Xavier Thomas, Alex Ross, Gilles Beloeil, William Wu, Nick Tan Chee Eng, Nicolas Collings, Sergey Kalinen, Russell Mills, Remko Troost, Khai Nguyen, Max Qin, Donglu Yu, Johan Grenier, Antoine Rol"
Assassin's Creed III: Liberation,"Eddie Bennun (environments), Nacho Yagüe (environments), Borislav Mitkov (characters), Konstantin Kostadinov"
Assassin's Creed IV: Black Flag,"Raphael Lacoste, Martin Deschambault, Eddie Bennun, Hugo Deschamps, Donglu Yu, Mathieu Granjon, Enira, Jan Urschel, Encho Enchev, Ivan Koritarev"
Assassin's Creed: Brotherhood,"Gilles Beloeil, DongLu Yu, Olivier Martin"
Assassin's Creed Odyssey,"Wavenwater Michael Guimont, Hugo Puzzuoli"
Assassin's Creed Origins,"Martin Deschambault, Eddie Bennun, Gilles Beloeil, Jeff Simpson, Encho Enchev"
Assassin's Creed: Revelations,"Martin Deschambault, Craig Mullins, Jeff Simpson, Antoine Rol, Gilles Beloeil, Max Qin"
Assassin's Creed Rogue,"Ivan Koritarev, Eddie Bennun"
Assassin's Creed Syndicate,"Fernando Acosta, Morgan Yon"
Assassin's Creed Unity,"Remko Troost, Gilles Beloeil"
Assassin's Creed Valhalla,"Martin Deschambault, Raphael Lacoste, Yelim Kim, Eddie Bennun, Pierre Raveneau, Even Amundsen, Donglu Yu, Gilles Beloeil, Remko Troost, Gabriel Tan, Jeff Simpson, Sabin Boykinov, Ignat Komitov, Philip V"
Astellia,Bong Gu Lee
Astral Chain,"Masakazu Katsura, Hajime Kimura"
Astria Ascending,"CyDesignation, Arthur Gagnon"
Asura's Wrath,???
Atelier Annie: Alchemists of Sera Island,Watanuki Nao
Atelier Ayesha: The Alchemist of Dusk,"Hidari (characters), Aquamary Images (backgrounds)"
Atelier Escha & Logy: Alchemists of the Dusk Sky,Hidari
Atelier Firis: Alchemist & the Mysterious Journey,"Yuugen, Takekono"
Atelier Iris: Eternal Mana,Jun Futaba (character designs)
Atelier Iris 2: The Azoth of Destiny,Jun Futaba (character designs)
Atelier Iris 3: Grand Phantasm,Jun Futaba (character designs)
Atelier Lulua: The Scion of Arland,Mel Kishida (character designs)
Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings,"Yuugen, NOCO"
Atelier Meruru: The Apprentice of Arland,Mel Kishida (character designs)
Atelier Rorona: The Alchemist of Arland,Mel Kishida (character designs)
Atelier Ryza: Ever Darkness & the Secret Hideout,Toridamono (character designs)
Atelier Ryza 2: Lost Legends & the Secret Fairy,Toridamono (character designs)
Atelier Ryza 3: Alchemist of the End & the Secret,Toridamono (character designs)
Atelier Shallie Plus: Alchemists of the Dusk Sea,Hidari
Atelier Sophie: Alchemist of the Mysterious Book,"Yuugen, Takenoko"
Atelier Totori: The Adventurer of Arland,Mel Kishida (character designs)
Atlantica Online,Oniou (Geun Ha Hwang)Sando (Byung-hyuck Kim)
Attack on Titan: Wings of Freedom,???
Avalon Code,Haccan (character designs)
Azur Lane,"Manjuu Art Group, Tony Taka, Yumesaki Kaede, ALLENES, Byulzzi, Saru"
Azure Striker Gunvolt,Yoshitaka Hatakeyama
Azure Striker Gunvolt 2,Yoshitaka Hatakeyama
Balan Wonderworld,Naoto Ohshima
Baldur's Gate III,"Konstantin Porubov, Jane Katsubo"
Baten Kaitos,Nakaba Higurashi (character designs)
Baten Kaitos Origins,Nakaba Higurashi (character designs)
Batman: Arkham Asylum,Carlos D'Anda (character designs & illustrations)
Batman: Arkham City,"Kan Mutfic, Carlos D'Anda, Dave Wilkins, Gabe Eltaeb"
Batman: Arkham Knight,???
Batman: Arkham Origins,"Virgile Loth, Meinert Hansen, Joel Dos Reis Viegas, Daniel Kvasznicza, Eric Gagnon, Nicolas Ferrand, Georgi Simeonov"
Bayonetta,"Mari Shimazaki, Yusuke Hashimoto, Ikumi Nakamura, Kenichiro Yoshimura, Muneyuki Kotegawa"
Bayonetta 2,"Mari Shimazaki, Yong-Hee Cho, Tsuyoshi Takahashi"
Bayonetta 3,Mari Shimazaki (main character design) Tsuyoshi Takahashi (Infernal Demons design) Muneyuki Kotegawa (weapon design)Yuki Suda (concept art)
Before Crisis: Final Fantasy VII,Tetsuya Nomura (character designs)
Beyond Good and Evil 2,"Pierre Bertin, Morgan Yon, Fred Augis, Omar Sabrou, Guillaume Arvieu, Gaël Chauvet"
Beyond: Two Souls,"François Baranger, Benoit Godde, Geoffroy Thoorens"
Binary Domain,"Daizo Kimura, Taku Makino, Sho Mutsuura"
Bionic Commando,"Daniel Conway, Jakob Tuchten"
BioShock,"Nate Wells, Mauricio Tejerina, Rob Waters, Scott Sinclair"
BioShock 2,"Colin Fix, Annie Fix"
BioShock Infinite,"Mike Swiderek, Jorge Lacera, Ben Lo, Tyler West"
Black Desert,???
Blade & Soul,"Hyung-tae Kim, Hee Chul An, Jin Woo Park, Seunghee Lee, Hyeong-Gun, Oh Ji Hoon"
Bladestorm: Nightmare,???
BlazBlue Alternative: Dark War,???
BlazBlue: Calamity Trigger,"Toshimichi Mori, Yuuki Katou"
BlazBlue: Central Fiction,"Toshimichi Mori, Yuuki Katou"
BlazBlue: Chrono Phantasma,"Toshimichi Mori, Yuuki Katou"
BlazBlue: Continuum Shift,"Toshimichi Mori, Yuuki Katou"
BlazBlue: Cross Tag Battle,Konomi Higuchi
Blazing Souls,Katsuyuki Hirano (character designs)
Bless Online,"Min Seub Jung, Hangyo Jung, Jaemin Kim, Ed Lee, Hwanggyu Kim, yasu, Hanho Lee"
Bloodborne,"Daisuke Satake, Hiroshi Nakamura, Masanori Waragai, Masahiro Miki, Masanao Katayama, Mai Hatsuyama, Yusuke Kato, Ryuji Baba, Kota Tonaki, Kento Koga, Tetsu Takahashi, Tsutomu Kitazawa, Wataru Kami, Yusuke Oda, Emi Kaneko"
Bloodstained: Ritual of the Night,"Yuji Natsume, Inti Creates, Mana Ikeda (illustration), Ayami Kojima (illustration), Yoshitaka Amano (illust)"
Bloody Roar II,Naochika Morishita (character designs)
Bloody Roar 3,"Naochika Morishita, Mitsuakira Tatsuta"
Bloody Roar Extreme,???
Blue Dragon: Awakened Shadow,"Akira Toriyama, Kaori Tosa"
Blue Reflection,Mel Kishida
Boktai: The Sun is in Your Hand,"Toru Kawakami, Ikuya Nakamura"
Borderlands,"Kale Menges, Lorin Wood, Won Choi, Philip Wohr, Wesley Burt"
Borderlands 2,"Lorin Wood, Scott Kester, Kevin Duc, Matias Tapia"
Borderlands 3,"Adam Ybarra, Sergi Brosa, Robert Chew, Kevin Duc, Max Davenport, Elijah McNeal, Amanda Christensen, Danny Gardner, Daniel Solovev, Jens Claessens"
Borderlands: The Pre-Sequel!,???
The Bou,Tetsuya Nomura (character designs)
Brave Fencer Musashi,Tetsuya Nomura (character designs)
Bravely Default,"Akihiko Yoshida, Atsushi Okubo, Yuka Miyamoto, Yoshihisa Ueda, Toronn, Hideo Minaba, Takorasu, Kenta Tanaka"
Bravely Second: End Layer,"Akihiko Yoshida, Naoki Ikushima"
Breath of Fire,Tatsuya Yoshikawa (character designs)
Breath of Fire II,Tatsuya Yoshikawa (character designs)
Breath of Fire III,Tatsuya Yoshikawa (character designs)
Breath of Fire IV,Tatsuya Yoshikawa (character designs)
Breath of Fire V,Tatsuya Yoshikawa (character designs)
Brigandine: The Legend of Runersia,"Kazama Raita, Jin Tamura, Yuta Koyano"
Brütal Legend,"Scott Campbell, Razmig Mavlian, Levi Ryken, Lee Petty"
Cadence of Hyrule,"Paul Veer, Lucas Carvalho, Ted Martens, Tyriq Plummer"
Capcom Fighting Evolution,Shinkiro (character designs)
Capcom vs. SNK: Millennium Fight 2000,"Kinu Nishimura, Shinkiro"
Capcom vs. SNK 2: Mark of the Millennium 2001,"Kinu Nishimura, Shinkiro"
Castlevania: Aria of Sorrow,Ayami Kojima (character designs & illustrations)
Castlevania: Curse of Darkness,Ayami Kojima (character designs & illustrations)
Castlevania Judgment,Takeshi Obata (character designs)
Castlevania: Lament of Innocence,Ayami Kojima (character designs & illustrations)
Castlevania: Lords of Shadow,"Juan Antonio Alcázar, Jose Luis Vaello, Diego Gisbert Llorens"
Castlevania: Lords of Shadow 2,"Jose Luis Vaello, Diego Gisbert Llorens, Jorge Benedito, Carlos NCT"
Castlevania: Lords of Shadow - Mirror of Fate,Jorge Benedito
Castlevania: Order of Ecclesia,Masaki Hirooka (character designs)
Castlevania: Symphony of the Night,Ayami Kojima (character designs & illustrations)
Castlevania: The Dracula X Chronicles,Ayami Kojima (character designs & illustrations)
Catherine,Shigenori Soejima
The Chainsaw Incident,???
Chaos Heroes Online,Kwon Yun Jeong (lovecacao)
Chaos Legion,Wataru Kanayama (character designs)
Chibi-Robo!: Park Patrol,???
Children of Mana,"Nao Ikeda, Ryoma Ito"
Chrono Cross,Nobuteru Yuuki (character designs)
Chronos Gear,Axion Logic
Chrono Trigger,Akira Toriyama (character designs)
Civilization VI,???
Code Name: S.T.E.A.M.,Takako Sakai (art director)
Code of Princess,Kinu Nishimura
Code Vein,"Kurumi Kobayashi (characters), Marika Cowan, Tyler Crook, Vanesa R. Del Rey, James Stokoe"
Conception II: Children of the Seven Stars,???
Conquer Online,???
Crash Bandicoot 4: It's About Time,"Nicholas Kole, Nicola Saviori, James Loy Martin, Florian Coudray, Oleg Yurkov, Didier Nguyen, Simon Kopp, Khoa Viet, Airborn Studios"
Crash Team Racing Nitro-Fueled,"Wavenwater Michael Guimont, David Fortin"
Crisis Core: Final Fantasy VII,"Tetsuya Nomura (characters), Yusuke Naora (CG art)"
Critter Crunch,"Nick ""Qiqo"" Stephan, Tri Vuong, Sylvain Coutouly"
Cross Edge,???
CrossFire,???
Cryamore,"Robert Porter, Alan Wansom, Judy Jong, John Crayton"
Culdcept Saga,"Shishizaru (character designs), Akiman"
Cuphead,"Chad Moldenhauer, Marija Moldenhauer, Hanna Abi-Hanna, Lance Miller, Joseph Coleman, Danielle Johnson, Tina Nawrocki, Caitlin Russell"
Cyberpunk 2077,"Ward Lindhout, Alexander Dudar, Michal Lisowski, Maciej Rebisz, Marthe Jonkers, Bogna Gawrońska, Marta Leydy, Sergey Glushakov, Filippo Ubertino, Marcin Tomalak, Alicja Uzarowska, Artur Tarnowski, Marek Madej, Marek Brzezinski, Lea Leonowicz"
Danganronpa: Trigger Happy Havoc,Rui Komatsuzaki
Dante's Inferno,"Lawrence Mai, Wayne Barlowe, Chris Ocampo, Jehan Choo, Samuel Michlap"
Dark Cloud 2,"Jun Sonobe (characters), Takeyoshi Okabe (logo)"
Darkness Rises,"Namgwon Lee, Jang Jae, Yeonjun Park, Jin Won, Dongho Kang, Team Couscous"
Darksiders,"Joe Madureira, Christian Lichtner"
Darksiders II,"Joe Madureira, Jonathan Kirtz"
Darksiders III,"Peter Richmond, Daryl Mandryk, Chris Anderson, Konstantin Vavilov"
Darksiders Genesis,"Joe Madureira, Baldi Konijn, Jesse Carpenter, Grace Liu, Billy Garretsen, Carlos Ruiz"
Dark Souls,"Michael Ting Yu Chang (monsters), Masanori Waragai"
Dark Souls II,???
Dark Souls III,"Daisuke Satake, Hiroshi Nakamura, Masanori Waragai, Mai Hatsuyama, Kota Tonaki, Ryuji Baba, Aki Inzan, Shin Ou, Kento Koga, Koichiro Harada, Nararak Rumm"
Darkstalkers: The Night Warriors,"Bengus / CRMK, Edayan, Daigo Ikeno"
Darkstalkers Resurrection,Stanley Lau
Dark Void,"Chris Madden, Jihoon Kim, Will Nichols, Mark Selander"
Dawn of Mana,Nao Ikeda (character designs)
Dead Island,???
Dead Island: Survivors,"Mickael Balloul, Martin Elsaesser"
Dead or Alive 3,"Yasushi Nakakura, Hidoyuki Kato, Muneaki Kubota, Yoshiki Horiuchi"
Dead or Alive 5,???
Dead or Alive 6,???
Dead or Alive: Dimensions,???
Deadpool,"Billy King, Jose Emroca Flores"
Dead Rising,"Naru Omori (CG artwork), Toshihiro Suzuko (models), Keiji Ueda (models)"
Dead Rising 2,"Todd Grenier, Gustavo Mendonca (environments), Fran Gaulin"
Dead Space,"Jason Courtney, Jens Holdener, Tavershima Shande, Nathan Bowden, Masashi Otake, Lawrence Mai, Ernesto Guaman, Chi Wai-Lao, Ben Wanat"
Dead Space 2,Joseph Cross
Dead Space 3,"Jehan Choo, Chi-wai Lao, Patrick O'Keefe, Jason Felix, Joseph Cross, Jens Holdener, David Hobbins"
Dead to Rights: Retribution,Martin Johnson
Death Stranding,"Yoji Shinkawa, Pablo Uchida"
Deep Black,"KaZZanTip, Leonid ""leopardsnow"" Enin"
Demon's Souls,"Michael Ting Yu Chang, Makoto Satoh"
Demon's Souls (2020),"Adam Rehmann, Dane Brennand, Masahiro Sawada, Juan Pablo Roldan, Dinulescu Alexandru, Daniel Jiménez Villalba, Pavel Goloviy"
Depth Fantasia,Shunya Yamashita
Destiny,"Kekai Kotaki, Dorje Bellbrook, Adrian Majkrzak, Jaime Jones, Ryan DeMita, Daniel Chavez, Darren Bacon, Jesse van Dijk, Joseph Cross"
Destiny 2,"Sung Choi, Adrian Majkrzak, Mark Van Haitsma, Dorje Bellbrook, Joseph Cross, Dima Goryainov"
Destiny 2: The Witch Queen,"Dima Goryainov, Jacob Gonzalez, Eric Pfeiffer, Gabriel Garza, Casper Konefal, Dipo Muh, Sung Choi, Tobias Kwan, Johnson Ting"
Detroit: Become Human,"Florent Auguy, Pierre Bertin, Romain Jouandeau, Benoit Godde, Sorane Mathieu, Crocq Clement, Mikael Leger, Wojtek Fus, Antoine Boutin"
Deus Ex: Human Revolution,"Richard Dumont, Thierry Doizon, Sébastien Larroudé, Eric Gagnon, Jim Murray, Brian Dugan, Donglu Yu, Trong-Kim Nguyen, François Cannel"
Deus Ex: Mankind Divided,Bruno Gauthier Leblanc
Devil May Cry,Makoto Tsuchibayashi
Devil May Cry 3: Dante's Awakening,"Daigo Ikeno (characters), Kazuma Kaneko (Devil art), Naru Omori (CG art), Jun Ikawa, Tatsuya Oshima, Hitoshi Igarashi, Takayuki Higashi, Satoshi Ukai (logo)"
Devil May Cry 4,"Tatsuya Yoshikawa, Yoshihiro Ono"
Devil May Cry 5,"Tatsuya Yoshikawa (character design), Daigo Ikeno, Bengus, Chisato Mita, Shinkiro/Toshiaki Mori"
Diablo II: Resurrected,"Danny Williams, Dave Keenan, Maxim Verehin, Eugene Lukashevich, Rodion Vlasov, Crystel Land, Naky Solanki, Carmen Cornet, Gray Rogers, Min Fu, Pixel Mafia, elite3d, Little Red Zombies"
Diablo III,"Peter Lee, Victor Lee, Trent Kaniuga, Anthony Rivero, Christian Lichtner, Glenn Rane, Phroilan Gardner, Bryan Huang, Wang Wei, Matt Ryan"
Diablo IV,"Victor Lee, Rob Sevilla, Cedric Peyravernay, Brom, Mike Franchina, Ryan Metcalf, Igor Sidorenko, Ted Beargeon, Josh Tallman, Richie Marella"
Diablo Immortal,Laurel D. Austin
Digimon Story Cyber Sleuth: Complete Edition,"Suzuhito Yasuda, Kenji Watanabe"
The DioField Chronicle,Taiki (character designs)Isamu Kamikokuryo (concept art)
Dirge of Cerberus: Final Fantasy VII,Tetsuya Nomura (character designs)
Disco Elysium,"Aleksander Rostov, Kaspar Tamsalu, Rauno Somelar, Markus Härma, Siim Raidma, Mehdi Annassi"
Disgaea: Hour of Darkness,Takehito Harada (character designs)
Disgaea 2: Cursed Memories,Takehito Harada (character designs)
Disgaea 3: Absence of Justice,Takehito Harada (character designs)
Disgaea 4: A Promise Unforgotten,Takehito Harada (character designs)
Disgaea D2: A Brighter Darkness,Takehito Harada
Dishonored,"Viktor Antonov, Cedric Peyravernay, Sergey Kolesov, Wesley Burt, Nicolas Collings"
Dishonored 2,"Cedric Peyravernay, Sergey Kolesov"
Dishonored: Death of the Outsider,"Piotr Jabłoński, Sergey Kolesov, Georgian Avasilcutei"
Disney Universe,???
Dissidia 012 Final Fantasy,Tetsuya Nomura (character designs)
Dissidia Final Fantasy,"Tetsuya Nomura (characters), Yoshitaka Amano"
Dissidia Final Fantasy NT,"Tetsuya Nomura (character), Yoshitaka Amano (logo)"
Dissidia Final Fantasy Opera Omnia,Tetsuya Nomura (original character designs)
Divinity II: Ego Draconis,Hugo Puzzuoli (character & monster designs)
Divinity: Original Sin II,Tania
DmC: Devil May Cry,"Alessandro Taini, Daniel Baker"
Dofus,Gueuzav (character designs)
Dofus 2.0,Gueuzav (character designs)
Doki Doki Majo Shinpan! 2,Fujinomiya Minoli (character designs)
Donkey Kong Country Returns,"Ryan Powell, Vince Joly, Chuck Crist, Luis Ramirez, Mike Witt, Sammy Hall, Danny Richardson, Mark Brady, Reed Ketcham"
Donkey Kong Country: Tropical Freeze,???
Doom (2016),Emerson Tung
Dota 2,???
Dragon Age II,"Benjamin Huen, Matt Rhodes, Nick Thornborrow, Casper Konefal, Ville Kinnunen, Steve Klit, Joy Ang, Ramil Sunga, Sung Kim"
Dragon Age: Inquisition,Matt Rhodes
Dragon Age: Origins,"Jason Chan (character posters), Sri Ram Chandra (creatures), Stanislav Klabik (renders)"
Dragon Ball FighterZ,Akira Toriyama (Android 21 concept)
Dragon Ball Z: Battle of Z,???
Dragoneer's Aria,"Juno Jeong, Taniel"
Dragon Quest V: Hand of the Heavenly Bride,Akira Toriyama (character designs)
